Name,Profession,KnownMovie,About
" Meghan Markle
",Actress,Remember,"
    Meghan, (born Rachel Meghan Markle) is an US-born member of the British royal family and a former film and television actress.Meghan Markle was born on August 4, 1981 and raised in Los Angeles, California and is of mixed-race heritage. During her studies at Northwestern University, she began to ...                 "
" Teyana Taylor
",Actress,Coming,"
    Teyana Taylor was born on December 10, 1990 in Harlem, New York City, New York, USA as Teyana Me Shay Jacqueli Taylor. She is an actress and composer, known for Coming 2 America (2021), Kanye West: Fade (2016) and The Love Section (2013). She has been married to Iman Shumpert since October 1, 2016....                 "
" Elizabeth Olsen
",Actress,Martha,"
    Elizabeth Chase ""Lizzie"" Olsen (born February 16, 1989) is an American actress. She is known for her roles in the films Silent House (2011), Liberal Arts (2012), Godzilla (2014), Avengers: Age of Ultron (2015), and Captain America: Civil War (2016). For her role in the critically-acclaimed Martha ...                 "
" Brianne Howey
",Actress,The,"
    Brianne Howey was born on May 24, 1989 in Los Angeles, California, USA as Brianne Nicole Howey. She is an actress, known for The Passage (2019), The Exorcist (2016) and Ginny & Georgia (2021).                 "
" KiKi Layne
",Actress,If,"
    KiKi Layne was born on December 10, 1991 in Cincinnati, Ohio, USA. She is an actress and producer, known for If Beale Street Could Talk (2018), Native Son (2019) and The Old Guard (2020).                 "
" Eve Hewson
",Actress,Robin,"
    Memphis Eve Sunny Day Hewson, known professionally as Eve Hewson, is an Irish actress. Her first major role was in the drama film This Must Be the Place (2011). She played Nurse Lucy Elkins in Steven Soderbergh's TV series The Knick (2014-2015).Hewson was born in Dublin, the second daughter of ...                 "
" Paul Bettany
",Actor,Master,"
    Paul Bettany is an English actor. He first came to the attention of mainstream audiences when he appeared in the British film Gangster No. 1 (2000), and director Brian Helgeland's film A Knight's Tale (2001). He has gone on to appear in a wide variety of films, including A Beautiful Mind (2001), ...                 "
" Jermaine Fowler
",Actor,Friends,"
    Jermaine Fowler is an actor and producer, known for Friends of the People (2014), Jermaine Fowler: Give Em Hell Kid (2015) and BoJack Horseman (2014).                 "
" Kathryn Hahn
",Actress,Afternoon,"
    Kathryn Marie Hahn was born in Westchester, Illinois, but her family then moved to Cleveland, Ohio, where she spent most of her time growing up. She is of German, Irish, and English descent. She graduated with a bachelor's degree in theater from Northwestern University. She later attended Yale, ...                 "
" Kelly Marie Tran
",Actress,Star,"
    Kelly Marie Tran was born on January 17, 1989 in San Diego, California, USA. She is an actress and producer, known for Star Wars: Episode VIII - The Last Jedi (2017), Star Wars: Episode IX - The Rise of Skywalker (2019) and Raya and the Last Dragon (2021).                 "
